id;title;discription;cover;relase_date
1;Intranet Data Franc;../fake-data/blob/hipster.txt;yellow compressing tan;2024-04-30
2;Officer;../fake-data/blob/hipster.txt;up cross-platform Cedi;2024-04-30
3;Kroon Borders;../fake-data/blob/hipster.txt;Handmade Soft Sausages;2024-04-30
4;input New;../fake-data/blob/hipster.txt;haptic firewall executive;2024-04-30
5;Brook;../fake-data/blob/hipster.txt;Prairie Officer sexy;2024-04-30
6;Baby integrate;../fake-data/blob/hipster.txt;Tools of Salad;2024-04-30
7;Carolina;../fake-data/blob/hipster.txt;North Tactics;2024-04-30
8;integrate;../fake-data/blob/hipster.txt;ubiquitous Rustic;2024-04-30
9;Hat;../fake-data/blob/hipster.txt;Account Outdoors edge;2024-04-30
10;Rustic Auto Orchestrator;../fake-data/blob/hipster.txt;driver;2024-04-30
