id;title;episode_link;relase_date
1;Home Intelligent generate;../fake-data/blob/hipster.txt;2024-04-29
2;Fish Washington;../fake-data/blob/hipster.txt;2024-04-30
3;Licensed Account Home;../fake-data/blob/hipster.txt;2024-04-30
4;intermediate;../fake-data/blob/hipster.txt;2024-04-30
5;Rapid;../fake-data/blob/hipster.txt;2024-04-30
6;Shoes multi-state;../fake-data/blob/hipster.txt;2024-04-30
7;deposit;../fake-data/blob/hipster.txt;2024-04-30
8;Licensed;../fake-data/blob/hipster.txt;2024-04-30
9;Tobago;../fake-data/blob/hipster.txt;2024-04-30
10;PCI Lev violet;../fake-data/blob/hipster.txt;2024-04-30
