id;title_in_japan;title_in_englis;relase_date;add_date;start_date;end_date;avrge_episode_length;type;season_type;cover
1;online Dollar;compressing;2024-04-30;2024-04-30;2024-04-30;2024-04-30;multi-byte Keyboard Concrete;MOVIE;OVA;Sleek
2;Human TCP Rubber;Marino;2024-04-30;2024-04-30;2024-04-30;2024-04-30;navigate Denmark Buckinghamshire;EPISODE;OVA;Liaison robust Lead
3;Borders Tennessee;XSS Kids Wooden;2024-04-30;2024-04-30;2024-04-30;2024-04-29;time-frame Koruna;MOVIE;OVA;feed optical
4;azure;Representative Lari disintermediate;2024-04-30;2024-04-30;2024-04-30;2024-04-30;Account;MOVIE;SERIES;transmit
5;Electronics maroon;Loan payment;2024-04-30;2024-04-30;2024-04-29;2024-04-30;SCSI Buckinghamshire;EPISODE;SERIES;capacity
6;Dynamic wireless interface;collaborative frame enterprise;2024-04-30;2024-04-30;2024-04-30;2024-04-30;Infrastructure calculating Open-source;MOVIE;OVA;Self-enabling Som violet
7;Expanded Lithuania;Nebraska connecting Cotton;2024-04-30;2024-04-30;2024-04-30;2024-04-30;primary Ball Awesome;EPISODE;OVA;Loan
8;Down-sized;Key global;2024-04-30;2024-04-29;2024-04-30;2024-04-30;Tuna solution;MOVIE;OVA;Automotive grow
9;Cambridgeshire withdrawal;open-source;2024-04-30;2024-04-30;2024-04-30;2024-04-30;matrix User-friendly Chair;EPISODE;ONA;modular
10;Square;synthesize;2024-04-30;2024-04-30;2024-04-30;2024-04-30;UAE Granite;MOVIE;SERIES;standardization
